Year,Award,Winner,Name,Film
1936,Actress in a Supporting Role,1,Gale Sondergaard,Anthony Adverse
1936,Actor in a Leading Role,0,Gary Cooper,Mr. Deeds Goes to Town
1936,Actor in a Leading Role,0,Walter Huston,Dodsworth
1936,Actor in a Leading Role,0,William Powell,My Man Godfrey
1936,Actor in a Leading Role,0,Spencer Tracy,San Francisco
1936,Actor in a Supporting Role,0,Mischa Auer,My Man Godfrey
1936,Actor in a Supporting Role,0,Stuart Erwin,Pigskin Parade
1936,Actor in a Supporting Role,0,Basil Rathbone,Romeo and Juliet
1936,Actor in a Supporting Role,0,Akim Tamiroff,The General Died at Dawn
1936,Actress in a Leading Role,0,Irene Dunne,Theodora Goes Wild
1936,Actress in a Leading Role,0,Gladys George,Valiant Is the Word for Carrie
1936,Actress in a Leading Role,0,Carole Lombard,My Man Godfrey
1936,Actress in a Leading Role,0,Norma Shearer,Romeo and Juliet
1936,Actress in a Supporting Role,0,Beulah Bondi,The Gorgeous Hussy
1936,Actress in a Supporting Role,0,Alice Brady,My Man Godfrey
1936,Actress in a Supporting Role,0,Bonita Granville,These Three
1936,Actress in a Supporting Role,0,Maria Ouspenskaya,Dodsworth
1937,Actor in a Leading Role,1,Spencer Tracy,Captains Courageous
1937,Actor in a Supporting Role,1,Joseph Schildkraut,The Life of Emile Zola
1937,Actress in a Leading Role,1,Luise Rainer,The Good Earth
1937,Actress in a Supporting Role,1,Alice Brady,In Old Chicago
1937,Actor in a Leading Role,0,Charles Boyer,Conquest
1937,Actor in a Leading Role,0,Fredric March,A Star Is Born
1937,Actor in a Leading Role,0,Robert Montgomery,Night Must Fall
1937,Actor in a Leading Role,0,Paul Muni,The Life of Emile Zola
1937,Actor in a Supporting Role,0,Ralph Bellamy,The Awful Truth
1937,Actor in a Supporting Role,0,Thomas Mitchell,The Hurricane
1937,Actor in a Supporting Role,0,H. B. Warner,Lost Horizon
1937,Actor in a Supporting Role,0,Roland Young,Topper
1937,Actress in a Leading Role,0,Irene Dunne,The Awful Truth
1937,Actress in a Leading Role,0,Greta Garbo,Camille
1937,Actress in a Leading Role,0,Janet Gaynor,A Star Is Born
1937,Actress in a Leading Role,0,Barbara Stanwyck,Stella Dallas
1937,Actress in a Supporting Role,0,Andrea Leeds,Stage Door
1937,Actress in a Supporting Role,0,Anne Shirley,Stella Dallas
1937,Actress in a Supporting Role,0,Claire Trevor,Dead End
1937,Actress in a Supporting Role,0,Dame May Whitty,Night Must Fall
1938,Actor in a Leading Role,1,Spencer Tracy,Boys Town
1938,Actor in a Supporting Role,1,Walter Brennan,Kentucky
1938,Actress in a Leading Role,1,Bette Davis,Jezebel
1938,Actress in a Supporting Role,1,Fay Bainter,Jezebel
1938,Actor in a Leading Role,0,Charles Boyer,Algiers
1938,Actor in a Leading Role,0,James Cagney,Angels with Dirty Faces
1938,Actor in a Leading Role,0,Robert Donat,The Citadel
1938,Actor in a Leading Role,0,Leslie Howard,Pygmalion
1938,Actor in a Supporting Role,0,John Garfield,Four Daughters
1938,Actor in a Supporting Role,0,Gene Lockhart,Algiers
1938,Actor in a Supporting Role,0,Robert Morley,Marie Antoinette
1938,Actor in a Supporting Role,0,Basil Rathbone,If I Were King
1938,Actress in a Leading Role,0,Fay Bainter,White Banners
1938,Actress in a Leading Role,0,Wendy Hiller,Pygmalion
1938,Actress in a Leading Role,0,Norma Shearer,Marie Antoinette
1938,Actress in a Leading Role,0,Margaret Sullavan,Three Comrades
1938,Actress in a Supporting Role,0,Beulah Bondi,Of Human Hearts
1938,Actress in a Supporting Role,0,Billie Burke,Merrily We Live
1938,Actress in a Supporting Role,0,Spring Byington,You Can't Take It with You
1938,Actress in a Supporting Role,0,Miliza Korjus,The Great Waltz
1939,Actor in a Leading Role,1,Robert Donat,"Goodbye, Mr. Chips"
1939,Actor in a Supporting Role,1,Thomas Mitchell,Stagecoach
1939,Actress in a Leading Role,1,Vivien Leigh,Gone with the Wind
1939,Actress in a Supporting Role,1,Hattie McDaniel,Gone with the Wind
1939,Actor in a Leading Role,0,Clark Gable,Gone with the Wind
1939,Actor in a Leading Role,0,Laurence Olivier,Wuthering Heights
1939,Actor in a Leading Role,0,Mickey Rooney,Babes in Arms
1939,Actor in a Leading Role,0,James Stewart,Mr. Smith Goes to Washington
1939,Actor in a Supporting Role,0,Brian Aherne,Juarez
1939,Actor in a Supporting Role,0,Harry Carey,Mr. Smith Goes to Washington
1939,Actor in a Supporting Role,0,Brian Donlevy,Beau Geste
1939,Actor in a Supporting Role,0,Claude Rains,Mr. Smith Goes to Washington
1939,Actress in a Leading Role,0,Bette Davis,Dark Victory
1939,Actress in a Leading Role,0,Irene Dunne,Love Affair
1939,Actress in a Leading Role,0,Greta Garbo,Ninotchka
1939,Actress in a Leading Role,0,Greer Garson,"Goodbye, Mr. Chips"
1939,Actress in a Supporting Role,0,Olivia de Havilland,Gone with the Wind
1939,Actress in a Supporting Role,0,Geraldine Fitzgerald,Wuthering Heights
1939,Actress in a Supporting Role,0,Edna May Oliver,Drums along the Mohawk
1939,Actress in a Supporting Role,0,Maria Ouspenskaya,Love Affair
1940,Actor in a Leading Role,1,James Stewart,The Philadelphia Story
1940,Actor in a Supporting Role,1,Walter Brennan,The Westerner
1940,Actress in a Leading Role,1,Ginger Rogers,Kitty Foyle
1940,Actress in a Supporting Role,1,Jane Darwell,The Grapes of Wrath
1940,Actor in a Leading Role,0,Charles Chaplin,The Great Dictator
1940,Actor in a Leading Role,0,Henry Fonda,The Grapes of Wrath
1940,Actor in a Leading Role,0,Raymond Massey,Abe Lincoln in Illinois
1940,Actor in a Leading Role,0,Laurence Olivier,Rebecca
1940,Actor in a Supporting Role,0,Albert Basserman,Foreign Correspondent
1940,Actor in a Supporting Role,0,William Gargan,They Knew What They Wanted
1940,Actor in a Supporting Role,0,Jack Oakie,The Great Dictator
1940,Actor in a Supporting Role,0,James Stephenson,The Letter
1940,Actress in a Leading Role,0,Bette Davis,The Letter
1940,Actress in a Leading Role,0,Joan Fontaine,Rebecca
1940,Actress in a Leading Role,0,Katharine Hepburn,The Philadelphia Story
1940,Actress in a Leading Role,0,Martha Scott,Our Town
1940,Actress in a Supporting Role,0,Judith Anderson,Rebecca
1940,Actress in a Supporting Role,0,Ruth Hussey,The Philadelphia Story
1940,Actress in a Supporting Role,0,Barbara O'Neil,"All This, and Heaven Too"
1940,Actress in a Supporting Role,0,Marjorie Rambeau,Primrose Path
1941,Actor in a Leading Role,1,Gary Cooper,Sergeant York
1941,Actor in a Supporting Role,1,Donald Crisp,How Green Was My Valley
1941,Actress in a Leading Role,1,Joan Fontaine,Suspicion
1941,Actress in a Supporting Role,1,Mary Astor,The Great Lie
1941,Actor in a Leading Role,0,Cary Grant,Penny Serenade
1941,Actor in a Leading Role,0,Walter Huston,All That Money Can Buy
1941,Actor in a Leading Role,0,Robert Montgomery,Here Comes Mr. Jordan
1941,Actor in a Leading Role,0,Orson Welles,Citizen Kane
1941,Actor in a Supporting Role,0,Walter Brennan,Sergeant York
1941,Actor in a Supporting Role,0,Charles Coburn,The Devil and Miss Jones
1941,Actor in a Supporting Role,0,James Gleason,Here Comes Mr. Jordan
1941,Actor in a Supporting Role,0,Sydney Greenstreet,The Maltese Falcon
1941,Actress in a Leading Role,0,Bette Davis,The Little Foxes
1941,Actress in a Leading Role,0,Olivia de Havilland,Hold Back the Dawn
1941,Actress in a Leading Role,0,Greer Garson,Blossoms in the Dust
1941,Actress in a Leading Role,0,Barbara Stanwyck,Ball of Fire
1941,Actress in a Supporting Role,0,Sara Allgood,How Green Was My Valley
1941,Actress in a Supporting Role,0,Patricia Collinge,The Little Foxes
1941,Actress in a Supporting Role,0,Teresa Wright,The Little Foxes
1941,Actress in a Supporting Role,0,Margaret Wycherly,Sergeant York
1942,Actor in a Leading Role,1,James Cagney,Yankee Doodle Dandy
1942,Actor in a Supporting Role,1,Van Heflin,Johnny Eager
1942,Actress in a Leading Role,1,Greer Garson,Mrs. Miniver
1942,Actress in a Supporting Role,1,Teresa Wright,Mrs. Miniver
1942,Actor in a Leading Role,0,Ronald Colman,Random Harvest
1942,Actor in a Leading Role,0,Gary Cooper,The Pride of the Yankees
1942,Actor in a Leading Role,0,Walter Pidgeon,Mrs. Miniver
1942,Actor in a Leading Role,0,Monty Woolley,The Pied Piper
1942,Actor in a Supporting Role,0,William Bendix,Wake Island
1942,Actor in a Supporting Role,0,Walter Huston,Yankee Doodle Dandy
1942,Actor in a Supporting Role,0,Frank Morgan,Tortilla Flat
1942,Actor in a Supporting Role,0,Henry Travers,Mrs. Miniver
1942,Actress in a Leading Role,0,Bette Davis,"Now, Voyager"
1942,Actress in a Leading Role,0,Katharine Hepburn,Woman of the Year
1942,Actress in a Leading Role,0,Rosalind Russell,My Sister Eileen
1942,Actress in a Leading Role,0,Teresa Wright,The Pride of the Yankees
1942,Actress in a Supporting Role,0,Gladys Cooper,"Now, Voyager"
1942,Actress in a Supporting Role,0,Agnes Moorehead,The Magnificent Ambersons
1942,Actress in a Supporting Role,0,Susan Peters,Random Harvest
1942,Actress in a Supporting Role,0,Dame May Whitty,Mrs. Miniver
1943,Actor in a Leading Role,1,Paul Lukas,Watch on the Rhine
1943,Actor in a Supporting Role,1,Charles Coburn,The More the Merrier
1943,Actress in a Leading Role,1,Jennifer Jones,The Song of Bernadette
1943,Actress in a Supporting Role,1,Katina Paxinou,For Whom the Bell Tolls
1943,Actor in a Leading Role,0,Humphrey Bogart,Casablanca
1943,Actor in a Leading Role,0,Gary Cooper,For Whom the Bell Tolls
1943,Actor in a Leading Role,0,Walter Pidgeon,Madame Curie
1943,Actor in a Leading Role,0,Mickey Rooney,The Human Comedy
1943,Actor in a Supporting Role,0,Charles Bickford,The Song of Bernadette
1943,Actor in a Supporting Role,0,J. Carrol Naish,Sahara
1943,Actor in a Supporting Role,0,Claude Rains,Casablanca
1943,Actor in a Supporting Role,0,Akim Tamiroff,For Whom the Bell Tolls
1943,Actress in a Leading Role,0,Jean Arthur,The More the Merrier
1943,Actress in a Leading Role,0,Ingrid Bergman,For Whom the Bell Tolls
1943,Actress in a Leading Role,0,Joan Fontaine,The Constant Nymph
1943,Actress in a Leading Role,0,Greer Garson,Madame Curie
1943,Actress in a Supporting Role,0,Gladys Cooper,The Song of Bernadette
1943,Actress in a Supporting Role,0,Paulette Goddard,So Proudly We Hail!
1943,Actress in a Supporting Role,0,Anne Revere,The Song of Bernadette
1943,Actress in a Supporting Role,0,Lucile Watson,Watch on the Rhine
1944,Actor in a Leading Role,1,Bing Crosby,Going My Way
1944,Actor in a Supporting Role,1,Barry Fitzgerald,Going My Way
1944,Actress in a Leading Role,1,Ingrid Bergman,Gaslight
1944,Actress in a Supporting Role,1,Ethel Barrymore,None but the Lonely Heart
1944,Actor in a Leading Role,0,Charles Boyer,Gaslight
1944,Actor in a Leading Role,0,Barry Fitzgerald,Going My Way
1944,Actor in a Leading Role,0,Cary Grant,None but the Lonely Heart
1944,Actor in a Leading Role,0,Alexander Knox,Wilson
1944,Actor in a Supporting Role,0,Hume Cronyn,The Seventh Cross
1944,Actor in a Supporting Role,0,Claude Rains,Mr. Skeffington
1944,Actor in a Supporting Role,0,Clifton Webb,Laura
1944,Actor in a Supporting Role,0,Monty Woolley,Since You Went Away
1944,Actress in a Leading Role,0,Claudette Colbert,Since You Went Away
1944,Actress in a Leading Role,0,Bette Davis,Mr. Skeffington
1944,Actress in a Leading Role,0,Greer Garson,Mrs. Parkington
1944,Actress in a Leading Role,0,Barbara Stanwyck,Double Indemnity
1944,Actress in a Supporting Role,0,Jennifer Jones,Since You Went Away
1944,Actress in a Supporting Role,0,Angela Lansbury,Gaslight
1944,Actress in a Supporting Role,0,Aline MacMahon,Dragon Seed
1944,Actress in a Supporting Role,0,Agnes Moorehead,Mrs. Parkington
1945,Actor in a Leading Role,1,Ray Milland,The Lost Weekend
1945,Actor in a Supporting Role,1,James Dunn,A Tree Grows in Brooklyn
1945,Actress in a Leading Role,1,Joan Crawford,Mildred Pierce
1945,Actress in a Supporting Role,1,Anne Revere,National Velvet
1945,Actor in a Leading Role,0,Bing Crosby,The Bells of St. Mary's
1945,Actor in a Leading Role,0,Gene Kelly,Anchors Aweigh
1945,Actor in a Leading Role,0,Gregory Peck,The Keys of the Kingdom
1945,Actor in a Leading Role,0,Cornel Wilde,A Song to Remember
1945,Actor in a Supporting Role,0,Michael Chekhov,Spellbound
1945,Actor in a Supporting Role,0,John Dall,The Corn Is Green
1945,Actor in a Supporting Role,0,Robert Mitchum,G. I. Joe
1945,Actor in a Supporting Role,0,J. Carrol Naish,A Medal for Benny
1945,Actress in a Leading Role,0,Ingrid Bergman,The Bells of St. Mary's
1945,Actress in a Leading Role,0,Greer Garson,The Valley of Decision
1945,Actress in a Leading Role,0,Jennifer Jones,Love Letters
1945,Actress in a Leading Role,0,Gene Tierney,Leave Her to Heaven
1945,Actress in a Supporting Role,0,Eve Arden,Mildred Pierce
1945,Actress in a Supporting Role,0,Ann Blyth,Mildred Pierce
1945,Actress in a Supporting Role,0,Angela Lansbury,The Picture of Dorian Gray
1945,Actress in a Supporting Role,0,Joan Lorring,The Corn Is Green
1946,Actor in a Leading Role,1,Fredric March,The Best Years of Our Lives
1946,Actor in a Supporting Role,1,Harold Russell,The Best Years of Our Lives
1946,Actress in a Leading Role,1,Olivia de Havilland,To Each His Own
1946,Actress in a Supporting Role,1,Anne Baxter,The Razor's Edge
1946,Actor in a Leading Role,0,Laurence Olivier,Henry V
1946,Actor in a Leading Role,0,Larry Parks,The Jolson Story
1946,Actor in a Leading Role,0,Gregory Peck,The Yearling
1946,Actor in a Leading Role,0,James Stewart,It's a Wonderful Life
1946,Actor in a Supporting Role,0,Charles Coburn,The Green Years
1946,Actor in a Supporting Role,0,William Demarest,The Jolson Story
1946,Actor in a Supporting Role,0,Claude Rains,Notorious
1946,Actor in a Supporting Role,0,Clifton Webb,The Razor's Edge
1946,Actress in a Leading Role,0,Celia Johnson,Brief Encounter
1946,Actress in a Leading Role,0,Jennifer Jones,Duel in the Sun
1946,Actress in a Leading Role,0,Rosalind Russell,Sister Kenny
1946,Actress in a Leading Role,0,Jane Wyman,The Yearling
1946,Actress in a Supporting Role,0,Ethel Barrymore,The Spiral Staircase
1946,Actress in a Supporting Role,0,Lillian Gish,Duel in the Sun
1946,Actress in a Supporting Role,0,Flora Robson,Saratoga Trunk
1946,Actress in a Supporting Role,0,Gale Sondergaard,Anna and the King of Siam
1947,Actor in a Leading Role,1,Ronald Colman,A Double Life
1947,Actor in a Supporting Role,1,Edmund Gwenn,Miracle on 34th Street
1947,Actress in a Leading Role,1,Loretta Young,The Farmer's Daughter
1947,Actress in a Supporting Role,1,Celeste Holm,Gentleman's Agreement
1947,Actor in a Leading Role,0,John Garfield,Body and Soul
1947,Actor in a Leading Role,0,Gregory Peck,Gentleman's Agreement
1947,Actor in a Leading Role,0,William Powell,Life with Father
1947,Actor in a Leading Role,0,Michael Redgrave,Mourning Becomes Electra
1947,Actor in a Supporting Role,0,Charles Bickford,The Farmer's Daughter
1947,Actor in a Supporting Role,0,Thomas Gomez,Ride the Pink Horse
1947,Actor in a Supporting Role,0,Robert Ryan,Crossfire
1947,Actor in a Supporting Role,0,Richard Widmark,Kiss of Death
1947,Actress in a Leading Role,0,Joan Crawford,Possessed
1947,Actress in a Leading Role,0,Susan Hayward,Smash-Up--The Story of a Woman
1947,Actress in a Leading Role,0,Dorothy McGuire,Gentleman's Agreement
1947,Actress in a Leading Role,0,Rosalind Russell,Mourning Becomes Electra
1947,Actress in a Supporting Role,0,Ethel Barrymore,The Paradine Case
1947,Actress in a Supporting Role,0,Gloria Grahame,Crossfire
1947,Actress in a Supporting Role,0,Marjorie Main,The Egg and I
1947,Actress in a Supporting Role,0,Anne Revere,Gentleman's Agreement
1948,Actor in a Leading Role,1,Laurence Olivier,Hamlet
1948,Actor in a Supporting Role,1,Walter Huston,The Treasure of the Sierra Madre
1948,Actress in a Leading Role,1,Jane Wyman,Johnny Belinda
1948,Actress in a Supporting Role,1,Claire Trevor,Key Largo
1948,Actor in a Leading Role,0,Lew Ayres,Johnny Belinda
1948,Actor in a Leading Role,0,Montgomery Clift,The Search
1948,Actor in a Leading Role,0,Dan Dailey,When My Baby Smiles at Me
1948,Actor in a Leading Role,0,Clifton Webb,Sitting Pretty
1948,Actor in a Supporting Role,0,Charles Bickford,Johnny Belinda
1948,Actor in a Supporting Role,0,Josí© Ferrer,Joan of Arc
1948,Actor in a Supporting Role,0,Oscar Homolka,I Remember Mama
1948,Actor in a Supporting Role,0,Cecil Kellaway,The Luck of the Irish
1948,Actress in a Leading Role,0,Ingrid Bergman,Joan of Arc
1948,Actress in a Leading Role,0,Olivia de Havilland,The Snake Pit
1948,Actress in a Leading Role,0,Irene Dunne,I Remember Mama
1948,Actress in a Leading Role,0,Barbara Stanwyck,"Sorry, Wrong Number"
1948,Actress in a Supporting Role,0,Barbara Bel Geddes,I Remember Mama
1948,Actress in a Supporting Role,0,Ellen Corby,I Remember Mama
1948,Actress in a Supporting Role,0,Agnes Moorehead,Johnny Belinda
1948,Actress in a Supporting Role,0,Jean Simmons,Hamlet
1949,Actor in a Leading Role,1,Broderick Crawford,All the King's Men
1949,Actor in a Supporting Role,1,Dean Jagger,Twelve O'Clock High
1949,Actress in a Leading Role,1,Olivia de Havilland,The Heiress
1949,Actress in a Supporting Role,1,Mercedes McCambridge,All the King's Men
1949,Actor in a Leading Role,0,Kirk Douglas,Champion
1949,Actor in a Leading Role,0,Gregory Peck,Twelve O'Clock High
1949,Actor in a Leading Role,0,Richard Todd,The Hasty Heart
1949,Actor in a Leading Role,0,John Wayne,Sands of Iwo Jima
1949,Actor in a Supporting Role,0,John Ireland,All the King's Men
1949,Actor in a Supporting Role,0,Arthur Kennedy,Champion
1949,Actor in a Supporting Role,0,Ralph Richardson,The Heiress
1949,Actor in a Supporting Role,0,James Whitmore,Battleground
1949,Actress in a Leading Role,0,Jeanne Crain,Pinky
1949,Actress in a Leading Role,0,Susan Hayward,My Foolish Heart
1949,Actress in a Leading Role,0,Deborah Kerr,"Edward, My Son"
1949,Actress in a Leading Role,0,Loretta Young,Come to the Stable
1949,Actress in a Supporting Role,0,Ethel Barrymore,Pinky
1949,Actress in a Supporting Role,0,Celeste Holm,Come to the Stable
1949,Actress in a Supporting Role,0,Elsa Lanchester,Come to the Stable
1949,Actress in a Supporting Role,0,Ethel Waters,Pinky
1950,Actor in a Leading Role,1,Josí© Ferrer,Cyrano de Bergerac
1950,Actor in a Supporting Role,1,George Sanders,All about Eve
1950,Actress in a Leading Role,1,Judy Holliday,Born Yesterday
1950,Actress in a Supporting Role,1,Josephine Hull,Harvey
1950,Actor in a Leading Role,0,Louis Calhern,The Magnificent Yankee
1950,Actor in a Leading Role,0,William Holden,Sunset Blvd.
1950,Actor in a Leading Role,0,James Stewart,Harvey
1950,Actor in a Leading Role,0,Spencer Tracy,Father of the Bride
1950,Actor in a Supporting Role,0,Jeff Chandler,Broken Arrow
1950,Actor in a Supporting Role,0,Edmund Gwenn,Mister 880
1950,Actor in a Supporting Role,0,Sam Jaffe,The Asphalt Jungle
1950,Actor in a Supporting Role,0,Erich von Stroheim,Sunset Blvd.
1950,Actress in a Leading Role,0,Anne Baxter,All about Eve
1950,Actress in a Leading Role,0,Bette Davis,All about Eve
1950,Actress in a Leading Role,0,Eleanor Parker,Caged
1950,Actress in a Leading Role,0,Gloria Swanson,Sunset Blvd.
1950,Actress in a Supporting Role,0,Hope Emerson,Caged
1950,Actress in a Supporting Role,0,Celeste Holm,All about Eve
1950,Actress in a Supporting Role,0,Nancy Olson,Sunset Blvd.
1950,Actress in a Supporting Role,0,Thelma Ritter,All about Eve
1951,Actor in a Leading Role,1,Humphrey Bogart,The African Queen
1951,Actor in a Supporting Role,1,Karl Malden,A Streetcar Named Desire
1951,Actress in a Leading Role,1,Vivien Leigh,A Streetcar Named Desire
1951,Actress in a Supporting Role,1,Kim Hunter,A Streetcar Named Desire
1951,Actor in a Leading Role,0,Marlon Brando,A Streetcar Named Desire
1951,Actor in a Leading Role,0,Montgomery Clift,A Place in the Sun
1951,Actor in a Leading Role,0,Arthur Kennedy,Bright Victory
1951,Actor in a Leading Role,0,Fredric March,Death of a Salesman
1951,Actor in a Supporting Role,0,Leo Genn,Quo Vadis
1951,Actor in a Supporting Role,0,Kevin McCarthy,Death of a Salesman
1951,Actor in a Supporting Role,0,Peter Ustinov,Quo Vadis
1951,Actor in a Supporting Role,0,Gig Young,Come Fill the Cup
1951,Actress in a Leading Role,0,Katharine Hepburn,The African Queen
1951,Actress in a Leading Role,0,Eleanor Parker,Detective Story
1951,Actress in a Leading Role,0,Shelley Winters,A Place in the Sun
1951,Actress in a Leading Role,0,Jane Wyman,The Blue Veil
1951,Actress in a Supporting Role,0,Joan Blondell,The Blue Veil
1951,Actress in a Supporting Role,0,Mildred Dunnock,Death of a Salesman
1951,Actress in a Supporting Role,0,Lee Grant,Detective Story
1951,Actress in a Supporting Role,0,Thelma Ritter,The Mating Season
1952,Actor in a Leading Role,1,Gary Cooper,High Noon
1952,Actor in a Supporting Role,1,Anthony Quinn,Viva Zapata!
1952,Actress in a Leading Role,1,Shirley Booth,"Come Back, Little Sheba"
1952,Actress in a Supporting Role,1,Gloria Grahame,The Bad and the Beautiful
1952,Actor in a Leading Role,0,Marlon Brando,Viva Zapata!
1952,Actor in a Leading Role,0,Kirk Douglas,The Bad and the Beautiful
1952,Actor in a Leading Role,0,Josí© Ferrer,Moulin Rouge
1952,Actor in a Leading Role,0,Alec Guinness,The Lavender Hill Mob
1952,Actor in a Supporting Role,0,Richard Burton,My Cousin Rachel
1952,Actor in a Supporting Role,0,Arthur Hunnicutt,The Big Sky
1952,Actor in a Supporting Role,0,Victor McLaglen,The Quiet Man
1952,Actor in a Supporting Role,0,Jack Palance,Sudden Fear
1952,Actress in a Leading Role,0,Joan Crawford,Sudden Fear
1952,Actress in a Leading Role,0,Bette Davis,The Star
1952,Actress in a Leading Role,0,Julie Harris,The Member of the Wedding
1952,Actress in a Leading Role,0,Susan Hayward,With a Song in My Heart
1952,Actress in a Supporting Role,0,Jean Hagen,Singin' in the Rain
1952,Actress in a Supporting Role,0,Colette Marchand,Moulin Rouge
1952,Actress in a Supporting Role,0,Terry Moore,"Come Back, Little Sheba"
1952,Actress in a Supporting Role,0,Thelma Ritter,With a Song in My Heart
1953,Actor in a Leading Role,1,William Holden,Stalag 17
1953,Actor in a Supporting Role,1,Frank Sinatra,From Here to Eternity
1953,Actress in a Leading Role,1,Audrey Hepburn,Roman Holiday
1953,Actress in a Supporting Role,1,Donna Reed,From Here to Eternity
1953,Actor in a Leading Role,0,Marlon Brando,Julius Caesar
1953,Actor in a Leading Role,0,Richard Burton,The Robe
1953,Actor in a Leading Role,0,Montgomery Clift,From Here to Eternity
1953,Actor in a Leading Role,0,Burt Lancaster,From Here to Eternity
1953,Actor in a Supporting Role,0,Eddie Albert,Roman Holiday
1953,Actor in a Supporting Role,0,Brandon De Wilde,Shane
1953,Actor in a Supporting Role,0,Jack Palance,Shane
1953,Actor in a Supporting Role,0,Robert Strauss,Stalag 17
